132 52 138 36 4.53111 489
140 132 14 144 3.48728 1016
140 52 146 36 4.5536 489
140 20 158 10 4.69414 489
140 100 234 90 3.43256 541
140 108 2 116 3.46873 2043
140 116 0 124 3.49046 2043
140 124 0 138 3.46537 2043
36 140 52 146 3.15967 959
36 100 34 106 3.85652 1246
148 132 18 144 3.48537 1016
148 108 106 128 3.3889 1657
148 116 22 120 3.42912 1016
148 124 18 136 3.49499 1016
156 12 182 6 4.67995 489
156 4 186 0 4.67697 489
156 68 112 68 3.67999 1092
156 84 110 78 3.84143 1092
156 108 110 102 3.47172 85
156 116 26 118 3.32673 509
164 132 118 122 3.46845 729
164 140 126 142 3.33939 1287
164 12 176 8 4.65728 630
164 52 152 36 4.54216 630
164 84 114 78 3.85465 1092
164 108 116 96 3.73194 40
164 116 116 106 3.71118 40
172 60 158 42 4.48076 630
172 84 120 78 3.73197 1092
172 108 124 96 3.70303 40
172 116 124 104 3.74955 40
44 100 42 106 3.76371 1246
180 60 162 42 4.44625 620
180 76 112 82 3.70223 2315
180 20 150 14 4.6563 858
180 100 134 102 3.6106 22
180 108 130 94 3.64826 40
180 116 134 106 3.66862 40
188 140 216 128 3.60122 959
188 68 146 50 4.14517 1241
188 84 118 90 3.75014 2071
188 100 142 98 3.59986 40
188 28 162 18 4.63043 858
12 108 10 82 3.96631 25
196 132 222 118 3.56588 959
196 60 150 42 4.43211 620
196 68 152 48 4.16262 1241
196 76 126 80 3.81751 2071
196 84 126 90 3.80497 2071
196 100 66 112 3.23641 4034
196 108 194 112 3.25972 18
204 132 226 118 3.55232 959
204 52 160 36 4.41962 929
204 60 178 50 4.44797 858
204 76 158 76 3.72857 1092
204 84 166 74 3.7384 2007
204 108 154 130 3.40616 297
204 116 72 134 3.32035 3001
52 12 194 0 4.58744 2769
52 20 190 10 4.57771 2769
52 124 74 136 3.31486 1137
212 132 232 118 3.55496 959
212 52 176 38 4.32215 620
212 84 168 86 3.77293 1092
212 108 160 130 3.43862 297
220 132 170 94 3.4557 1680
220 84 168 78 3.67849 2071
228 132 158 136 3.57495 496
228 124 162 126 3.44508 496
236 132 168 138 3.56303 496
236 156 206 24 4.01871 4439
236 76 162 50 3.8308 1458
236 84 206 72 3.63743 1860
236 100 62 134 3.13482 1866
236 108 162 110 3.34644 496
236 116 162 118 3.39342 496
60 132 78 146 3.34759 959
60 140 80 154 3.37163 959
60 52 46 46 4.55413 735
60 60 46 50 4.57165 735
60 20 200 6 4.58555 2769
60 100 78 98 3.44398 22
60 108 80 102 3.40683 22
60 124 82 136 3.37184 524
244 132 170 134 3.43827 496
244 156 210 24 4.01871 4439
244 84 218 74 3.53574 1860
244 108 168 110 3.43553 496
244 116 168 114 3.39537 496
252 148 178 26 4.15142 2772
252 156 222 22 4.07225 4439
252 108 176 110 3.36888 496
252 116 176 114 3.36221 496
4 108 6 82 4.02218 29
260 132 222 126 3.57678 660
260 124 246 110 3.48112 1569
268 132 254 118 3.68131 732
268 140 186 18 4.1797 2772
268 148 186 26 4.19561 2772
268 124 252 110 3.6142 732
68 52 50 46 4.57277 735
68 84 50 68 3.90843 1622
68 108 90 102 3.41741 22
276 132 258 118 3.62978 732
276 140 198 18 4.19017 2772
276 148 194 26 4.19561 2772
276 84 264 74 3.56045 2600
276 92 266 82 3.49318 433
276 124 262 110 3.6108 732
76 132 90 142 3.36732 959
76 140 90 152 3.41693 959
76 76 106 58 4.34129 623
76 84 70 78 3.93707 1429
20 36 178 16 4.53031 2769
20 108 22 86 3.98601 36
84 140 96 150 3.41954 959
84 44 64 42 4.55174 741
84 68 112 46 4.35393 623
84 124 86 134 3.31699 1653
92 44 122 26 4.59755 583
92 124 86 114 3.2051 529
100 44 128 26 4.62524 489
100 60 126 38 4.53405 489
100 68 130 50 4.27406 1718
100 76 126 66 3.75341 864
108 20 136 18 4.67664 489
108 100 86 110 3.26187 53
108 108 92 118 3.44524 38
108 28 134 22 4.66475 489
108 116 202 106 3.42789 476
108 124 150 132 3.26527 539
28 132 42 142 3.19797 959
28 140 46 148 3.10896 959
28 108 30 90 3.94588 36
116 60 134 42 4.56184 489
116 4 154 0 4.67672 689
116 84 142 72 3.55068 3496
116 108 98 118 3.45594 38
116 116 102 124 3.47127 38
116 124 118 138 3.30505 132
124 60 142 42 4.53915 489
124 4 160 0 4.67182 689
124 92 150 84 3.49454 1681
124 28 150 18 4.68911 583
